Table,Description
actor,"Contains information about actors. Columns: actor_id (Primary Key), first_name, last_name, last_update."
address,"Contains addresses for customers, staff, and stores. Columns: address_id (Primary Key), address, address2, district, city_id (Foreign Key to city), postal_code, phone, last_update."
category,"Contains movie categories. Columns: category_id (Primary Key), name, last_update."
city,"Contains city names and their related countries. Columns: city_id (Primary Key), city, country_id (Foreign Key to country), last_update."
country,"Contains country names. Columns: country_id (Primary Key), country, last_update."
customer,"Contains customer details. Columns: customer_id (Primary Key), store_id, first_name, last_name, email, address_id (Foreign Key to address), activebool, create_date, last_update, active."
film,"Contains movie information. Columns: film_id (Primary Key), title, description, release_year, language_id (Foreign Key to language), rental_duration, rental_rate, length, replacement_cost, rating, last_update, special_features, fulltext."
film_actor,"Links films and actors. Columns: actor_id (Primary Key, Composite, Foreign Key to actor), film_id (Primary Key, Composite, Foreign Key to film), last_update."
film_category,"Links films and categories. Columns: film_id (Primary Key, Composite, Foreign Key to film), category_id (Primary Key, Composite, Foreign Key to category), last_update."
inventory,"Tracks copies of films available in inventory. Columns: inventory_id (Primary Key), film_id (Foreign Key to film), store_id, last_update."
language,"Contains languages for films. Columns: language_id (Primary Key), name, last_update."
payment,"Contains payment details for rentals. Columns: payment_id (Primary Key), customer_id (Foreign Key to customer), staff_id (Foreign Key to staff), rental_id (Foreign Key to rental), amount, payment_date."
rental,"Contains rental details. Columns: rental_id (Primary Key), rental_date, inventory_id (Foreign Key to inventory), customer_id (Foreign Key to customer), return_date, staff_id (Foreign Key to staff), last_update."
staff,"Contains staff details. Columns: staff_id (Primary Key), first_name, last_name, address_id (Foreign Key to address), email, store_id, active, username, password (nullable), last_update, picture."
store,"Contains store details. Columns: store_id (Primary Key), manager_staff_id (Foreign Key to staff), address_id (Foreign Key to address), last_update."
